sequence_id	library	term	gained_in_term	lost_in_term	gained_genes	lost_genes	corrected_log2_odds_ratio	p_value	q_within_screen	q_global_library
ABCA4_7596f303176bc66b	Reactome	Uptake of dietary cobalamins into enterocytes (R-HSA-9758881)	0	1		ABCD4	6.5494638194997705	1.0	1.0	1.0
ABCA4_7596f303176bc66b	Reactome	Diseases of metabolism (R-HSA-5668914)	0	1		ABCD4	6.5494638194997705	1.0	1.0	1.0
ABCA4_7596f303176bc66b	Reactome	Signaling by Rho GTPases, Miro GTPases and RHOBTB3 (R-HSA-9716542)	0	1		STOM	6.5494638194997705	1.0	1.0	1.0
ABCA4_75ab7dc0a358180b	GO Biological Process	chloride transport (GO:0006821)	1	0	ANO1		-1.5849625007211563	1.0	1.0	1.0
ABCA4_75ab7dc0a358180b	GO Biological Process	mucus secretion (GO:0070254)	1	0	ANO1		-1.5849625007211563	1.0	1.0	1.0
ABCA4_75ab7dc0a358180b	GO Biological Process	monoatomic ion transmembrane transport (GO:0034220)	1	0	ANO1		-1.5849625007211563	1.0	1.0	1.0
ABCA4_75ab7dc0a358180b	GO Biological Process	chloride transmembrane transport (GO:1902476)	1	0	ANO1		-1.5849625007211563	1.0	1.0	1.0
ABCA4_75ab7dc0a358180b	GO Biological Process	detection of temperature stimulus involved in sensory perception of pain (GO:0050965)	1	0	ANO1		-1.5849625007211563	1.0	1.0	1.0
ABCA4_75ab7dc0a358180b	GO Molecular Function	chloride channel activity (GO:0005254)	1	0	ANO1		-1.5849625007211563	1.0	1.0	1.0
ABCA4_75ab7dc0a358180b	GO Molecular Function	protein homodimerization activity (GO:0042803)	1	0	ANO1		-1.5849625007211563	1.0	1.0	1.0
ABCA4_75ab7dc0a358180b	GO Molecular Function	iodide transmembrane transporter activity (GO:0015111)	1	0	ANO1		-1.5849625007211563	1.0	1.0	1.0
ABCA4_75ab7dc0a358180b	GO Molecular Function	intracellularly calcium-gated chloride channel activity (GO:0005229)	1	0	ANO1		-1.5849625007211563	1.0	1.0	1.0
ABCA4_75bb85c8443e2219	GO Biological Process	chloride transport (GO:0006821)	1	0	ANO1		0.3625700793847084	1.0	1.0	1.0
ABCA4_75bb85c8443e2219	GO Biological Process	mucus secretion (GO:0070254)	1	0	ANO1		0.3625700793847084	1.0	1.0	1.0
ABCA4_75bb85c8443e2219	GO Biological Process	monoatomic ion transmembrane transport (GO:0034220)	1	0	ANO1		0.3625700793847084	1.0	1.0	1.0
ABCA4_75bb85c8443e2219	GO Biological Process	chloride transmembrane transport (GO:1902476)	1	0	ANO1		0.3625700793847084	1.0	1.0	1.0
ABCA4_75bb85c8443e2219	GO Biological Process	detection of temperature stimulus involved in sensory perception of pain (GO:0050965)	1	0	ANO1		0.3625700793847084	1.0	1.0	1.0
ABCA4_75abb350373a370e	Reactome	SARS-CoV Infections (R-HSA-9679506)	1	0	ANO1		-1.8744691179161412	1.0	1.0	1.0
ABCA4_75abb350373a370e	Reactome	Ion channel transport (R-HSA-983712)	1	0	ANO1		-1.8744691179161412	1.0	1.0	1.0
ABCA4_75abb350373a370e	Reactome	Infectious disease (R-HSA-5663205)	1	0	ANO1		-1.8744691179161412	1.0	1.0	1.0
ABCA4_75abb350373a370e	Reactome	Induction of Cell-Cell Fusion (R-HSA-9733458)	1	0	ANO1		-1.8744691179161412	1.0	1.0	1.0
ABCA4_75abb350373a370e	Reactome	Viral Infection Pathways (R-HSA-9824446)	1	0	ANO1		-1.8744691179161412	1.0	1.0	1.0
ABCA4_75bb85c8443e2219	GO Molecular Function	chloride channel activity (GO:0005254)	1	0	ANO1		0.3625700793847084	1.0	1.0	1.0
ABCA4_75bb85c8443e2219	GO Molecular Function	protein homodimerization activity (GO:0042803)	1	0	ANO1		0.3625700793847084	1.0	1.0	1.0
ABCA4_75bb85c8443e2219	GO Molecular Function	iodide transmembrane transporter activity (GO:0015111)	1	0	ANO1		0.3625700793847084	1.0	1.0	1.0
ABCA4_75bb85c8443e2219	GO Molecular Function	intracellularly calcium-gated chloride channel activity (GO:0005229)	1	0	ANO1		0.3625700793847084	1.0	1.0	1.0
